Occupation,"Days of prior work experience, mean"
Market Research Analysts and Marketing Specialists,1237.44
Training and Development Specialists,1298.85
Compliance Officers,2255.05
Management Analysts,1677.2
Cost Estimator,1559.15
"Software Developers, Applications",1756.6
Database Administrators,1396.52
Information Security Analysts,1212.28
Computer Systems Analysts,1720.13
Computer Programmers,979.54
Mechanical Engineers,1842.2
Civil Engineers,1683.19
Computer Hardware Engineers,1695.6
Electrical Engineers,2214.24
Aerospace Engineers,2773.86
